fecha,tasa
2002-05-31,15.86
2002-06-30,16.2
2002-07-31,16.19
2002-08-31,16.16
2002-09-30,16.08
2002-10-31,16.08
2002-11-30,16.08
2002-12-31,16.08
2003-01-31,16.08
2003-02-28,16.08
2003-03-31,16.08
2003-04-30,16.12
2003-05-31,16.08
2003-06-30,16.08
2003-07-31,17.97
2003-08-31,19.05
2003-09-30,19.91
2003-10-31,19.89
2003-11-30,20.19
2003-12-31,19.51
2004-01-31,18.86
2004-02-29,19.92
2004-03-31,20.14
2004-04-30,20.19
2004-05-31,19.91
2004-06-30,19.37
2004-07-31,19.2
2004-08-31,18.99
2004-09-30,19.05
2004-10-31,19.14
2004-11-30,19.07
2004-12-31,19.03
2005-01-31,18.92
2005-02-28,18.96
2005-03-31,18.72
2005-04-30,18.72
2005-05-31,18.7
2005-06-30,18.65
2005-07-31,18.6
2005-08-31,18.43
2005-09-30,18.47
2005-10-31,18.44
2005-11-30,18.42
2005-12-31,18.45
2006-01-31,18.15
2006-02-28,17.84
2006-03-31,16.78
2006-04-30,15.39
2006-05-31,15.48
2006-06-30,14.96
2006-07-31,14.5
2006-08-31,14.39
2006-09-30,14.05
2006-10-31,13.88
2006-11-30,14.13
2006-12-31,14.02
2007-01-31,13.91
2007-02-28,14.06
2007-03-31,14.26
2007-04-30,14.27
2007-05-31,14.89
2007-06-30,15.45
2007-07-31,15.41
2007-08-31,15.85
2007-09-30,15.75
2007-10-31,15.69
2007-11-30,15.91
2007-12-31,15.91
2008-01-31,16.04
2008-02-29,16.31
2008-03-31,16.33
2008-04-30,16.5
2008-05-31,16.68
2008-06-30,16.57
2008-07-31,16.55
2008-08-31,16.97
2008-09-30,17.01
2008-10-31,17.03
2008-11-30,17.12
2008-12-31,17.24
2009-01-31,17.24
2009-02-28,16.82
2009-03-31,16.33
2009-04-30,16.31
2009-05-31,15.66
2009-06-30,14.94
2009-07-31,14.7
2009-08-31,14.56
2009-09-30,14.52
2009-10-31,14.33
2009-11-30,14.28
2009-12-31,14.01
2010-01-31,13.7
2010-02-28,13.7
2010-03-31,13.66
2010-04-30,13.62
2010-05-31,13.37
2010-06-30,13.05
2010-07-31,13.03
2010-08-31,13.0
2010-09-30,12.93
2010-10-31,12.85
2010-11-30,12.81
2010-12-31,12.95
2011-01-31,12.87
2011-02-28,12.86
2011-03-31,12.97
2011-04-30,12.96
2011-05-31,12.82
2011-06-30,12.83
2011-07-31,13.13
2011-08-31,13.07
2011-09-30,13.32
2011-10-31,13.38
2011-11-30,13.19
2011-12-31,12.97
2012-01-31,13.47
2012-02-29,13.54
2012-03-31,13.54
2012-04-30,13.42
2012-05-31,13.42
2012-06-30,13.1
2012-07-31,13.06
2012-08-31,13.25
2012-09-30,13.23
2012-10-31,13.08
2012-11-30,13.0
2012-12-31,12.91
2013-01-31,12.6
2013-02-28,12.62
2013-03-31,12.18
2013-04-30,12.02
2013-05-31,11.09
2013-06-30,10.82
2013-07-31,10.79
2013-08-31,10.83
2013-09-30,10.82
2013-10-31,10.84
2013-11-30,10.78
2013-12-31,10.82
2014-01-31,10.97
2014-02-28,11.01
2014-03-31,11.03
2014-04-30,11.14
2014-05-31,11.16
2014-06-30,11.27
2014-07-31,11.34
2014-08-31,11.33
2014-09-30,11.11
2014-10-31,11.21
2014-11-30,11.08
2014-12-31,11.05
2015-01-31,10.96
2015-02-28,11.05
2015-03-31,11.01
2015-04-30,10.94
2015-05-31,11.03
2015-06-30,10.95
2015-07-31,10.81
2015-08-31,10.78
2015-09-30,10.7
2015-10-31,10.85
2015-11-30,10.94
2015-12-31,11.04
2016-01-31,11.35
2016-02-29,11.53
2016-03-31,11.68
2016-04-30,11.89
2016-05-31,12.07
2016-06-30,12.19
2016-07-31,12.27
2016-08-31,12.33
2016-09-30,12.41
2016-10-31,12.37
2016-11-30,12.43
2016-12-31,12.43
2017-01-31,12.28
2017-02-28,12.44
2017-03-31,12.3
2017-04-30,12.3
2017-05-31,12.29
2017-06-30,11.94
2017-07-31,11.51
2017-08-31,11.26
2017-09-30,11.0
2017-10-31,10.87
2017-11-30,10.87
2017-12-31,10.78
2018-01-31,10.67
2018-02-28,10.77
2018-03-31,10.74
2018-04-30,10.66
2018-05-31,10.62
2018-06-30,10.59
2018-07-31,10.58
2018-08-31,10.52
2018-09-30,10.5
2018-10-31,10.47
2018-11-30,10.47
2018-12-31,10.38
2019-01-31,10.38
2019-02-28,10.43
2019-03-31,10.45
2019-04-30,10.38
2019-05-31,10.49
2019-06-30,10.51
2019-07-31,10.44
2019-08-31,10.4
2019-09-30,10.34
2019-10-31,10.35
2019-11-30,10.37
2019-12-31,10.36
2020-01-31,10.34
2020-02-29,10.41
2020-03-31,10.39
2020-04-30,10.3
2020-05-31,10.37
2020-06-30,10.33
2020-07-31,10.34
2020-08-31,10.34
2020-09-30,10.09
2020-10-31,9.88
2020-11-30,9.73
2020-12-31,9.51
2021-01-31,9.43
2021-02-28,9.3
2021-03-31,9.11
2021-04-30,9.04
2021-05-31,8.9
2021-06-30,8.88
2021-07-31,8.88
2021-08-31,8.92
2021-09-30,8.97
2021-10-31,9.01
2021-11-30,9.17
2021-12-31,9.32
2022-01-31,9.35
2022-02-28,9.59
2022-03-31,10.16
2022-04-30,10.74
2022-05-31,11.35
2022-06-30,11.8
2022-12-31,16.94
2023-01-31,17.3
2023-03-31,18.04
2023-06-30,17.5
2023-07-31,17.24
2023-08-31,17.2
2023-09-30,17.07
